roundNum,driverref,grid_start,position,points,status,race_time_ms,fastest_lap_time,fastest_lap_avg_speed
1,leclerc,1,1,26,Finished,5853584,94570,206.018
1,sainz,3,2,18,Finished,5859182,95740,203.501
1,hamilton,5,3,15,Finished,5863259,96228,202.469
1,russell,9,4,12,Finished,5864795,96302,202.313
1,kevin_magnussen,7,5,10,Finished,5868338,96623,201.641
1,bottas,6,6,8,Finished,5869703,96599,201.691
1,ocon,11,7,6,Finished,5873007,97110,200.630
1,tsunoda,16,8,4,Finished,5873970,97104,200.642
1,alonso,8,9,2,Finished,5875974,96733,201.412
1,zhou,15,10,1,Finished,5876648,96685,201.512
1,mick_schumacher,12,11,0,Finished,5886158,96956,200.948
1,stroll,19,12,0,Finished,5899457,97146,200.555
1,albon,14,13,0,Finished,5907516,97355,200.125
1,ricciardo,18,14,0,Finished,5908559,97261,200.318
1,norris,13,15,0,Finished,5909919,96988,200.882
1,latifi,20,16,0,Finished,5915379,98251,198.300
1,hulkenberg,17,17,0,Finished,5917413,98201,198.401
1,perez,4,18,0,Fuel pressure,,96089,202.762
1,max_verstappen,2,19,0,Fuel pressure,,95440,204.140
1,gasly,10,20,0,Power Unit,,97324,200.189
2,max_verstappen,4,1,25,Finished,5059293,91772,242.191
2,leclerc,2,2,19,Finished,5059842,91634,242.556
2,sainz,3,3,15,Finished,5067390,91905,241.841
2,perez,1,4,12,Finished,5070093,92042,241.481
2,russell,6,5,10,Finished,5092025,92821,239.454
2,ocon,5,6,8,Finished,5115310,93103,238.729
2,norris,11,7,6,Finished,5115417,92753,239.629
2,gasly,9,8,4,Finished,5122239,93468,237.796
2,kevin_magnussen,10,9,2,Finished,5123601,92779,239.562
2,hamilton,15,10,1,Finished,5133241,92997,239.001
2,zhou,12,11,0,Finished,5141508,93924,236.642
2,hulkenberg,17,12,0,Finished,5151035,93651,237.332
2,stroll,13,13,0,+1 Lap,,94446,235.334
2,albon,16,14,0,Collision damage,,94368,235.528
2,bottas,8,15,0,Cooling system,,93979,236.503
2,alonso,7,16,0,Water pump,,93831,236.876
2,ricciardo,14,17,0,Gearbox,,94487,235.232
2,latifi,18,18,0,Accident,,97530,227.892
2,tsunoda,19,19,0,Power Unit,,,
2,mick_schumacher,0,20,0,Withdrew,,,
3,leclerc,1,1,26,Finished,5266548,80260,236.740
3,perez,3,2,18,Finished,5287072,81094,234.305
3,russell,6,3,15,Finished,5292141,81495,233.152
3,hamilton,5,4,12,Finished,5295091,81886,232.039
3,norris,4,5,10,Finished,5319851,82248,231.018
3,ricciardo,7,6,8,Finished,5320285,82451,230.449
3,ocon,8,7,6,Finished,5328231,82469,230.399
3,bottas,12,8,4,Finished,5334987,81651,232.707
3,gasly,11,9,2,Finished,5342769,82731,229.669
3,albon,20,10,1,Finished,5345930,82589,230.064
3,zhou,14,11,0,Finished,5348243,82541,230.198
3,stroll,19,12,0,Finished,5355146,83592,227.304
3,mick_schumacher,15,13,0,+1 Lap,,83006,228.908
3,kevin_magnussen,16,14,0,+1 Lap,,83071,228.729
3,tsunoda,13,15,0,+1 Lap,,83342,227.985
3,latifi,18,16,0,+1 Lap,,83882,226.518
3,alonso,10,17,0,+1 Lap,,80846,235.024
3,max_verstappen,2,18,0,Fuel leak,,81677,232.633
3,vettel,17,19,0,Accident,,85189,223.042
3,sainz,9,20,0,Spun off,,,
4,max_verstappen,1,1,26,Finished,5527986,78446,225.281
4,perez,3,2,18,Finished,5544513,78949,223.845
4,norris,5,3,15,Finished,5562820,80903,218.439
4,russell,11,4,12,Finished,5570492,80962,218.280
4,bottas,7,5,10,Finished,5571167,80758,218.831
4,leclerc,2,6,8,Finished,5584058,78574,224.914
4,tsunoda,12,7,6,Finished,5589096,80544,219.412
4,vettel,13,8,4,Finished,5598878,81211,217.610
4,kevin_magnussen,8,9,2,Finished,5603246,81238,217.538
4,stroll,15,10,1,+1 Lap,,81750,216.176
4,albon,18,11,0,+1 Lap,,81757,216.157
4,gasly,17,12,0,+1 Lap,,81713,216.274
4,hamilton,14,13,0,+1 Lap,,81419,217.054
4,ocon,16,14,0,+1 Lap,,81887,215.814
4,zhou,0,15,0,+1 Lap,,81286,217.410
4,latifi,19,16,0,+1 Lap,,81338,217.271
4,mick_schumacher,10,17,0,+1 Lap,,78999,223.704
4,ricciardo,6,18,0,+1 Lap,,81577,216.634
4,alonso,9,19,0,Collision damage,,99685,177.282
4,sainz,4,20,0,Collision,,,
5,max_verstappen,3,1,26,Finished,5664258,91361,213.255
5,leclerc,1,2,18,Finished,5668044,91488,212.959
5,sainz,2,3,15,Finished,5672487,91790,212.258
5,perez,4,4,12,Finished,5674896,91819,212.191
5,russell,12,5,10,Finished,5682840,92195,211.325
5,hamilton,6,6,8,Finished,5685626,92941,209.629
5,bottas,5,7,6,Finished,5689331,93184,209.083
5,ocon,20,8,4,Finished,5692644,93163,209.130
5,albon,18,9,2,Finished,5696623,93447,208.494
5,stroll,0,10,1,Finished,5701284,93312,208.796
5,alonso,11,11,0,Finished,5701386,93331,208.753
