roundNum,driverref,points,wins,nationality,dob,constructorId
1,leclerc,26,1,Monegasque,1997-10-16,ferrari
1,sainz,18,0,Spanish,1994-09-01,ferrari
1,hamilton,15,0,British,1985-01-07,mercedes
1,russell,12,0,British,1998-02-15,mercedes
1,kevin_magnussen,10,0,Danish,1992-10-05,haas
1,bottas,8,0,Finnish,1989-08-28,alfa
1,ocon,6,0,French,1996-09-17,alpine
1,tsunoda,4,0,Japanese,2000-05-11,alphatauri
1,alonso,2,0,Spanish,1981-07-29,alpine
1,zhou,1,0,Chinese,1999-05-30,alfa
1,mick_schumacher,0,0,German,1999-03-22,haas
1,stroll,0,0,Canadian,1998-10-29,aston_martin
1,albon,0,0,Thai,1996-03-23,williams
1,ricciardo,0,0,Australian,1989-07-01,mclaren
1,norris,0,0,British,1999-11-13,mclaren
1,latifi,0,0,Canadian,1995-06-29,williams
1,hulkenberg,0,0,German,1987-08-19,aston_martin
1,perez,0,0,Mexican,1990-01-26,red_bull
1,max_verstappen,0,0,Dutch,1997-09-30,red_bull
1,gasly,0,0,French,1996-02-07,alphatauri
2,leclerc,45,1,Monegasque,1997-10-16,ferrari
2,sainz,33,0,Spanish,1994-09-01,ferrari
2,max_verstappen,25,1,Dutch,1997-09-30,red_bull
2,russell,22,0,British,1998-02-15,mercedes
2,hamilton,16,0,British,1985-01-07,mercedes
2,ocon,14,0,French,1996-09-17,alpine
2,perez,12,0,Mexican,1990-01-26,red_bull
2,kevin_magnussen,12,0,Danish,1992-10-05,haas
2,bottas,8,0,Finnish,1989-08-28,alfa
2,norris,6,0,British,1999-11-13,mclaren
2,tsunoda,4,0,Japanese,2000-05-11,alphatauri
2,gasly,4,0,French,1996-02-07,alphatauri
2,alonso,2,0,Spanish,1981-07-29,alpine
2,zhou,1,0,Chinese,1999-05-30,alfa
2,mick_schumacher,0,0,German,1999-03-22,haas
2,stroll,0,0,Canadian,1998-10-29,aston_martin
2,hulkenberg,0,0,German,1987-08-19,aston_martin
2,albon,0,0,Thai,1996-03-23,williams
2,ricciardo,0,0,Australian,1989-07-01,mclaren
2,latifi,0,0,Canadian,1995-06-29,williams
3,leclerc,71,2,Monegasque,1997-10-16,ferrari
3,russell,37,0,British,1998-02-15,mercedes
3,sainz,33,0,Spanish,1994-09-01,ferrari
3,perez,30,0,Mexican,1990-01-26,red_bull
3,hamilton,28,0,British,1985-01-07,mercedes
3,max_verstappen,25,1,Dutch,1997-09-30,red_bull
3,ocon,20,0,French,1996-09-17,alpine
3,norris,16,0,British,1999-11-13,mclaren
3,kevin_magnussen,12,0,Danish,1992-10-05,haas
3,bottas,12,0,Finnish,1989-08-28,alfa
3,ricciardo,8,0,Australian,1989-07-01,mclaren
3,gasly,6,0,French,1996-02-07,alphatauri
3,tsunoda,4,0,Japanese,2000-05-11,alphatauri
3,alonso,2,0,Spanish,1981-07-29,alpine
3,zhou,1,0,Chinese,1999-05-30,alfa
3,albon,1,0,Thai,1996-03-23,williams
3,mick_schumacher,0,0,German,1999-03-22,haas
3,stroll,0,0,Canadian,1998-10-29,aston_martin
3,hulkenberg,0,0,German,1987-08-19,aston_martin
3,latifi,0,0,Canadian,1995-06-29,williams
3,vettel,0,0,German,1987-07-03,aston_martin
4,leclerc,86,2,Monegasque,1997-10-16,ferrari
4,max_verstappen,59,2,Dutch,1997-09-30,red_bull
4,perez,54,0,Mexican,1990-01-26,red_bull
4,russell,49,0,British,1998-02-15,mercedes
4,sainz,38,0,Spanish,1994-09-01,ferrari
4,norris,35,0,British,1999-11-13,mclaren
4,hamilton,28,0,British,1985-01-07,mercedes
4,bottas,24,0,Finnish,1989-08-28,alfa
4,ocon,20,0,French,1996-09-17,alpine
4,kevin_magnussen,15,0,Danish,1992-10-05,haas
4,ricciardo,11,0,Australian,1989-07-01,mclaren
4,tsunoda,10,0,Japanese,2000-05-11,alphatauri
4,gasly,6,0,French,1996-02-07,alphatauri
4,vettel,4,0,German,1987-07-03,aston_martin
4,alonso,2,0,Spanish,1981-07-29,alpine
4,zhou,1,0,Chinese,1999-05-30,alfa
4,albon,1,0,Thai,1996-03-23,williams
4,stroll,1,0,Canadian,1998-10-29,aston_martin
4,mick_schumacher,0,0,German,1999-03-22,haas
4,hulkenberg,0,0,German,1987-08-19,aston_martin
4,latifi,0,0,Canadian,1995-06-29,williams
5,leclerc,104,2,Monegasque,1997-10-16,ferrari
5,max_verstappen,85,3,Dutch,1997-09-30,red_bull
5,perez,66,0,Mexican,1990-01-26,red_bull
5,russell,59,0,British,1998-02-15,mercedes
5,sainz,53,0,Spanish,1994-09-01,ferrari
5,hamilton,36,0,British,1985-01-07,mercedes
5,norris,35,0,British,1999-11-13,mclaren
5,bottas,30,0,Finnish,1989-08-28,alfa
5,ocon,24,0,French,1996-09-17,alpine
5,kevin_magnussen,15,0,Danish,1992-10-05,haas
5,ricciardo,11,0,Australian,1989-07-01,mclaren
5,tsunoda,10,0,Japanese,2000-05-11,alphatauri
5,gasly,6,0,French,1996-02-07,alphatauri
5,vettel,4,0,German,1987-07-03,aston_martin
5,albon,3,0,Thai,1996-03-23,williams
5,alonso,2,0,Spanish,1981-07-29,alpine
5,stroll,2,0,Canadian,1998-10-29,aston_martin
5,zhou,1,0,Chinese,1999-05-30,alfa
5,mick_schumacher,0,0,German,1999-03-22,haas
5,hulkenberg,0,0,German,1987-08-19,aston_martin
5,latifi,0,0,Canadian,1995-06-29,williams
6,max_verstappen,110,4,Dutch,1997-09-30,red_bull
6,leclerc,104,2,Monegasque,1997-10-16,ferrari
6,perez,85,0,Mexican,1990-01-26,red_bull
6,russell,74,0,British,1998-02-15,mercedes
6,sainz,65,0,Spanish,1994-09-01,ferrari
6,hamilton,46,0,British,1985-01-07,mercedes
6,norris,39,0,British,1999-11-13,mclaren
6,bottas,38,0,Finnish,1989-08-28,alfa
6,ocon,30,0,French,1996-09-17,alpine
6,kevin_magnussen,15,0,Danish,1992-10-05,haas
6,tsunoda,11,0,Japanese,2000-05-11,alphatauri
6,ricciardo,11,0,Australian,1989-07-01,mclaren
6,gasly,6,0,French,1996-02-07,alphatauri
6,vettel,4,0,German,1987-07-03,aston_martin
6,alonso,4,0,Spanish,1981-07-29,alpine
6,albon,3,0,Thai,1996-03-23,williams
6,stroll,2,0,Canadian,1998-10-29,aston_martin
6,zhou,1,0,Chinese,1999-05-30,alfa
6,mick_schumacher,0,0,German,1999-03-22,haas
6,hulkenberg,0,0,German,1987-08-19,aston_martin
6,latifi,0,0,Canadian,1995-06-29,williams
7,max_verstappen,125,4,Dutch,1997-09-30,red_bull
7,leclerc,116,2,Monegasque,1997-10-16,ferrari
7,perez,110,1,Mexican,1990-01-26,red_bull
7,russell,84,0,British,1998-02-15,mercedes
7,sainz,83,0,Spanish,1994-09-01,ferrari
7,hamilton,50,0,British,1985-01-07,mercedes
7,norris,48,0,British,1999-11-13,mclaren
7,bottas,40,0,Finnish,1989-08-28,alfa
7,ocon,30,0,French,1996-09-17,alpine
7,kevin_magnussen,15,0,Danish,1992-10-05,haas
7,ricciardo,11,0,Australian,1989-07-01,mclaren
7,tsunoda,11,0,Japanese,2000-05-11,alphatauri
7,alonso,10,0,Spanish,1981-07-29,alpine
7,gasly,6,0,French,1996-02-07,alphatauri
7,vettel,5,0,German,1987-07-03,aston_martin
7,albon,3,0,Thai,1996-03-23,williams
7,stroll,2,0,Canadian,1998-10-29,aston_martin
7,zhou,1,0,Chinese,1999-05-30,alfa
7,mick_schumacher,0,0,German,1999-03-22,haas
7,hulkenberg,0,0,German,1987-08-19,aston_martin
7,latifi,0,0,Canadian,1995-06-29,williams
8,max_verstappen,150,5,Dutch,1997-09-30,red_bull
8,perez,129,1,Mexican,1990-01-26,red_bull
8,leclerc,116,2,Monegasque,1997-10-16,ferrari
8,russell,99,0,British,1998-02-15,mercedes
8,sainz,83,0,Spanish,1994-09-01,ferrari
8,hamilton,62,0,British,1985-01-07,mercedes
8,norris,50,0,British,1999-11-13,mclaren
8,bottas,40,0,Finnish,1989-08-28,alfa
8,ocon,31,0,French,1996-09-17,alpine
