driverref,position,time,ms,lap,raceid,roundNum,circuitName,circuitLat,circuitLong,circuitCountry,circuitCity
leclerc,1,01:39.1,99070,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:40.2,100236,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:41.0,101006,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,4,01:41.6,101555,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,5,01:42.3,102333,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,6,01:43.0,102993,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,7,01:43.4,103445,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,8,01:44.3,104270,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,9,01:45.2,105174,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,10,01:46.2,106170,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,11,01:47.6,107636,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,12,01:48.1,108128,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,13,01:48.8,108826,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,14,01:49.2,109195,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,15,01:49.7,109698,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,16,01:50.1,110088,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,17,01:50.4,110439,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,18,01:51.1,111134,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,19,01:51.4,111374,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,20,01:51.6,111601,1,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:37.9,97853,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:37.9,97880,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:38.6,98649,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,4,01:39.0,99002,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,5,01:39.0,98993,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,6,01:39.1,99092,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,7,01:39.7,99694,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,8,01:40.2,100169,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,9,01:40.4,100412,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,10,01:40.1,100111,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,11,01:40.5,100548,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,12,01:40.7,100697,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,13,01:40.7,100722,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,14,01:40.8,100817,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,15,01:41.1,101077,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,16,01:41.0,101019,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,17,01:42.3,102279,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,18,01:41.2,101229,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,19,01:42.3,102298,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,20,01:42.6,102590,2,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:38.3,98272,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:38.4,98357,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:39.0,99049,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,4,01:39.1,99075,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,5,01:39.5,99473,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,6,01:41.2,101224,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,7,01:39.7,99725,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,8,01:40.0,99968,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,9,01:40.2,100226,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,10,01:40.2,100248,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,11,01:40.7,100664,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,12,01:40.6,100618,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,13,01:40.7,100747,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,14,01:40.7,100732,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,15,01:40.6,100638,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,16,01:40.9,100887,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,17,01:40.2,100183,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,18,01:41.8,101785,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,19,01:41.7,101668,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,20,01:41.7,101711,3,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:38.4,98414,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:38.6,98566,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:38.9,98923,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,4,01:38.9,98892,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,5,01:38.7,98741,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,6,01:39.6,99642,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,7,01:39.8,99772,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,8,01:40.2,100158,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,9,01:40.1,100097,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,10,01:40.2,100209,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,11,01:41.1,101126,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,12,01:41.0,100958,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,13,01:41.2,101163,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,14,01:41.1,101127,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,15,01:41.2,101189,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,16,01:40.4,100393,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,17,01:41.9,101931,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,18,01:41.5,101459,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,19,01:41.9,101947,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,20,01:41.8,101803,4,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:38.5,98471,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:38.9,98877,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:39.1,99101,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,4,01:38.9,98923,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,5,01:38.9,98861,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,6,01:39.0,99041,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,7,01:41.2,101169,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,8,01:40.2,100249,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,9,01:40.5,100465,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,10,01:40.5,100483,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,11,01:40.4,100363,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,12,01:42.3,102303,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,13,01:42.0,102049,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,14,01:41.8,101817,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,15,01:41.6,101574,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,16,01:42.5,102490,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,17,01:41.7,101715,5,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
